colonne,min_fin_fenetre,id_joueur,date_match,moment,mean,std,skewness,kurtosis,RMS,IQR,Q10,Q25,median,Q75,Q90,prop_sup_seuil
GYRO X,30,joueur_64,match_20220904,MT2,14.7671,43.4357,0.340786,10.9953,45.8773,123.518,-23.698,-2.19587,14.1168,30.328,53.3919,
GYRO Y,30,joueur_64,match_20220904,MT2,3.11376,77.5906,-0.0111771,4.23989,77.6531,258.48,-90.0171,-31.8661,3.64868,38.1945,91.1124,
GYRO Z,30,joueur_64,match_20220904,MT2,3.76273,54.0552,-0.21851,7.31481,54.186,175.596,-46.8804,-15.7597,3.39148,23.5543,54.7986,
NormeGradAcc,30,joueur_64,match_20220904,MT2,0.0410851,0.0507806,1.86741,3.59793,0.0653197,0.152197,0.00347213,0.00757798,0.0181054,0.0570163,0.119911,0.1341736694677871
NormeGradGyro,30,joueur_64,match_20220904,MT2,4.5799,5.50037,3.08746,15.1634,7.15748,14.5912,0.671195,1.26812,2.53496,5.96534,10.7808,
ACC X,45,joueur_64,match_20220904,MT2,-0.0964969,0.359312,-0.286681,8.35174,0.372044,1.04627,-0.440667,-0.268666,-0.101539,0.0849533,0.272042,
ACC Y,45,joueur_64,match_20220904,MT2,-0.862095,0.63054,-0.244304,1.85741,1.06808,2.36115,-1.65085,-1.09126,-0.866942,-0.641729,0.0273935,
ACC Z,45,joueur_64,match_20220904,MT2,-0.466054,0.330639,-1.27287,5.83575,0.571426,1.00855,-0.863502,-0.598413,-0.413795,-0.280203,-0.140803,
GYRO X,45,joueur_64,match_20220904,MT2,13.9441,43.0553,0.279058,10.5084,45.257,123.29,-26.9841,-4.53609,13.685,31.2854,53.7803,
GYRO Y,45,joueur_64,match_20220904,MT2,3.99756,80.3281,-0.0181571,3.11941,80.4275,264.272,-89.3446,-34.9254,3.63339,42.4903,98.5732,
GYRO Z,45,joueur_64,match_20220904,MT2,4.2628,55.7893,0.330212,5.96295,55.9519,180.32,-52.4346,-19.0903,2.57063,27.3117,62.1121,
NormeGradAcc,45,joueur_64,match_20220904,MT2,0.0449014,0.0487153,1.78343,4.02764,0.0662519,0.144778,0.00470177,0.0106555,0.0239849,0.0662696,0.117267,0.1318674136321195
NormeGradGyro,45,joueur_64,match_20220904,MT2,4.88554,5.14868,2.71396,11.2718,7.0977,14.0414,0.86041,1.5856,3.14455,6.47565,10.7087,
ACC X,15,joueur_65,match_20220904,MT1,-0.0619621,0.311475,-0.358965,5.25311,0.317578,0.909722,-0.397953,-0.234992,-0.054998,0.137817,0.268221,
ACC Y,15,joueur_65,match_20220904,MT1,-0.856633,0.662419,-0.239232,0.758217,1.08288,2.45597,-1.77683,-1.14377,-0.857544,-0.559756,0.0892311,
ACC Z,15,joueur_65,match_20220904,MT1,-0.549033,0.350967,-0.919232,2.15262,0.651625,1.12341,-1.02753,-0.750024,-0.46898,-0.32393,-0.180343,
GYRO X,15,joueur_65,match_20220904,MT1,-6.71013,34.2064,-0.271579,7.41979,34.8584,105.916,-42.949,-22.0834,-6.64746,8.79054,30.0676,
GYRO Y,15,joueur_65,match_20220904,MT1,-5.64155,71.2231,0.141822,1.26371,71.4462,239.743,-94.3724,-45.508,-6.48531,33.0023,84.3315,
GYRO Z,15,joueur_65,match_20220904,MT1,3.25041,50.9582,-0.138999,3.55102,51.0617,165.005,-54.5267,-22.2113,3.33624,29.2462,61.9485,
NormeGradAcc,15,joueur_65,match_20220904,MT1,0.0460089,0.043609,1.46978,2.82643,0.0633921,0.13691,0.00543907,0.0127207,0.0305501,0.0654591,0.112558,0.1942763772175537
NormeGradGyro,15,joueur_65,match_20220904,MT1,4.32928,3.88747,1.9296,6.07019,5.81851,11.1024,0.838243,1.47404,3.07798,6.12866,9.42032,
ACC X,30,joueur_65,match_20220904,MT1,-0.0498676,0.279334,-0.566901,5.12405,0.28375,0.826355,-0.358842,-0.205876,-0.0207098,0.117911,0.244101,
ACC Y,30,joueur_65,match_20220904,MT1,-0.871162,0.567226,0.0596373,1.40922,1.03955,2.21256,-1.54076,-1.03627,-0.919915,-0.707057,-0.0691607,
ACC Z,30,joueur_65,match_20220904,MT1,-0.501877,0.305376,-1.09787,2.8592,0.587482,0.995569,-0.926107,-0.643673,-0.420201,-0.323478,-0.221985,
GYRO X,30,joueur_65,match_20220904,MT1,-6.90063,29.8604,-0.092355,7.16956,30.6474,93.5057,-37.9312,-18.8786,-7.22887,5.07039,23.777,
GYRO Y,30,joueur_65,match_20220904,MT1,-5.48693,62.5956,0.0156282,2.27891,62.8356,216.319,-82.2476,-33.2358,-5.02017,22.1095,69.6348,
GYRO Z,30,joueur_65,match_20220904,MT1,3.33575,42.2295,-0.270113,3.99622,42.361,142.869,-42.3593,-13.9231,3.74566,22.2064,48.9365,
NormeGradAcc,30,joueur_65,match_20220904,MT1,0.0344108,0.0397651,1.61489,2.58011,0.0525868,0.122962,0.00109849,0.00488429,0.0186065,0.0533217,0.0920157,0.1319421101774043
NormeGradGyro,30,joueur_65,match_20220904,MT1,3.31211,3.55533,2.01668,6.28799,4.85906,10.163,0.235765,0.816103,1.97508,4.8585,8.11187,
ACC X,45,joueur_65,match_20220904,MT1,-0.0486972,0.304387,0.0316254,14.8223,0.308258,0.867928,-0.364505,-0.21281,-0.02704,0.124668,0.27048,
ACC Y,45,joueur_65,match_20220904,MT1,-0.854053,0.586102,0.0308543,1.02826,1.03582,2.22785,-1.58525,-1.08112,-0.882365,-0.65172,-0.0136933,
ACC Z,45,joueur_65,match_20220904,MT1,-0.516585,0.337071,-0.0980578,19.5405,0.616828,1.02231,-0.975177,-0.686404,-0.435005,-0.312485,-0.204666,
GYRO X,45,joueur_65,match_20220904,MT1,-6.85755,32.0095,-0.124326,9.92567,32.7359,94.3947,-38.4164,-21.2686,-6.93137,6.65631,25.8937,
GYRO Y,45,joueur_65,match_20220904,MT1,-3.2883,65.8596,0.0719995,2.82539,65.9416,221.951,-81.1202,-36.9149,-4.10503,29.431,77.5064,
GYRO Z,45,joueur_65,match_20220904,MT1,4.80382,48.0237,-0.0834322,4.65521,48.2633,157.287,-46.3352,-16.0548,4.5348,26.2951,56.6027,
NormeGradAcc,45,joueur_65,match_20220904,MT1,0.0376006,0.0400955,1.81342,5.81167,0.0549678,0.122167,0.00332348,0.00801584,0.0223983,0.0569639,0.0947199,0.13953781512605043
NormeGradGyro,45,joueur_65,match_20220904,MT1,3.49887,3.57846,3.2713,26.7325,5.00474,9.58236,0.573713,1.1404,2.27503,4.93638,7.89203,
ACC X,15,joueur_65,match_20220904,MT2,0.022088,0.263946,0.559684,5.99343,0.264869,0.75462,-0.250502,-0.129266,-0.0045451,0.176147,0.310341,
ACC Y,15,joueur_65,match_20220904,MT2,-0.85684,0.553252,0.032069,1.86933,1.01993,2.17205,-1.5039,-1.0303,-0.885843,-0.704991,-0.0780929,
ACC Z,15,joueur_65,match_20220904,MT2,0.475153,0.315164,1.27332,3.86293,0.570174,1.03332,0.16413,0.305855,0.409098,0.590003,0.892078,
GYRO X,15,joueur_65,match_20220904,MT2,-8.94569,34.103,-0.0738734,6.35648,35.2568,110.961,-45.0333,-21.9604,-8.38118,5.38962,25.4096,
GYRO Y,15,joueur_65,match_20220904,MT2,-5.00754,61.3772,-0.0166562,1.91124,61.5811,214.186,-80.7333,-33.5658,-4.93749,23.9022,70.052,
GYRO Z,15,joueur_65,match_20220904,MT2,4.54248,46.2913,0.0236078,3.82772,46.5137,155.661,-46.0879,-16.073,3.93467,24.7539,56.5169,
NormeGradAcc,15,joueur_65,match_20220904,MT2,0.0347226,0.0398686,1.70916,3.58413,0.0528693,0.122027,0.00130362,0.00573963,0.0184645,0.0532902,0.0925119,0.13436041083099906
NormeGradGyro,15,joueur_65,match_20220904,MT2,3.68677,3.89409,1.80442,4.81784,5.36248,11.3524,0.29473,0.942328,2.09557,5.53354,9.35272,
ACC X,30,joueur_65,match_20220904,MT2,0.0337094,0.252721,0.268281,6.22481,0.254959,0.729307,-0.233725,-0.119222,0.0205989,0.185983,0.308817,
ACC Y,30,joueur_65,match_20220904,MT2,-0.861158,0.493204,0.0601127,2.04901,0.992393,1.96206,-1.38928,-1.00168,-0.883253,-0.724475,-0.226837,
ACC Z,30,joueur_65,match_20220904,MT2,0.46572,0.301102,1.22168,3.60505,0.554578,0.974452,0.175585,0.299344,0.403037,0.581886,0.869009,
GYRO X,30,joueur_65,match_20220904,MT2,-8.56059,31.9143,-0.0151075,7.16335,33.0425,102.034,-40.9095,-20.1599,-8.2307,3.99917,23.0311,
GYRO Y,30,joueur_65,match_20220904,MT2,-5.91148,59.211,0.00795272,2.66996,59.5054,202.196,-75.265,-32.0444,-5.53399,19.8072,63.2172,
GYRO Z,30,joueur_65,match_20220904,MT2,5.08943,45.8127,0.11214,4.22443,46.0945,155.112,-42.9119,-14.6982,3.83553,23.6931,54.4605,
NormeGradAcc,30,joueur_65,match_20220904,MT2,0.0306181,0.0366237,1.76515,3.23823,0.0477364,0.112369,0.000945887,0.00455781,0.0159981,0.0447139,0.082957,0.10821661998132587
NormeGradGyro,30,joueur_65,match_20220904,MT2,3.18517,3.51518,2.0452,6.28153,4.74361,10.1347,0.208357,0.801758,1.8298,4.52432,8.19484,
ACC X,45,joueur_65,match_20220904,MT2,0.0372637,0.275924,-0.216171,17.5865,0.278429,0.795173,-0.251453,-0.122725,0.0253547,0.195013,0.340149,
ACC Y,45,joueur_65,match_20220904,MT2,-0.851622,0.519117,0.0813457,1.67007,0.997368,2.04997,-1.4557,-1.01147,-0.868036,-0.715219,-0.137744,
ACC Z,45,joueur_65,match_20220904,MT2,0.472075,0.319919,1.05418,3.394,0.570266,1.04851,0.165437,0.291418,0.406482,0.60011,0.901769,
GYRO X,45,joueur_65,match_20220904,MT2,-8.54505,33.3457,-0.175092,12.1475,34.4232,98.6969,-40.4722,-21.0742,-8.25946,4.96857,23.0791,
GYRO Y,45,joueur_65,match_20220904,MT2,-4.47429,61.0552,-0.0222896,2.16682,61.2189,211.464,-77.3982,-32.6461,-4.76825,23.1582,68.647,
GYRO Z,45,joueur_65,match_20220904,MT2,3.60817,49.3509,0.208214,3.47797,49.4827,168.668,-51.2027,-17.893,3.43944,23.9826,57.2654,
NormeGradAcc,45,joueur_65,match_20220904,MT2,0.0335594,0.0380114,1.72198,3.83712,0.050706,0.115763,0.00222014,0.00581581,0.0180108,0.0524995,0.0879285,0.12260504201680672
NormeGradGyro,45,joueur_65,match_20220904,MT2,3.36793,3.65484,2.5548,11.4377,4.96999,9.84013,0.44499,0.933006,1.95851,4.85462,8.02768,
ACC X,15,joueur_79,match_20220904,MT1,0.07537,0.504728,-0.0194556,7.86541,0.510325,1.50929,-0.431286,-0.148907,0.0493066,0.307133,0.592604,
ACC Y,15,joueur_79,match_20220904,MT1,-1.14843,0.974955,-0.351247,1.04,1.50646,3.41826,-2.30139,-1.5553,-1.26323,-0.480981,0.130368,
ACC Z,15,joueur_79,match_20220904,MT1,-0.52881,0.499242,-0.593488,27.0171,0.727243,1.4745,-1.11401,-0.704858,-0.444743,-0.255865,-0.0183586,
GYRO X,15,joueur_79,match_20220904,MT1,-1.13327,37.2578,-0.532785,22.5326,37.275,108.523,-37.1224,-15.2337,-0.512035,12.8844,34.0431,
GYRO Y,15,joueur_79,match_20220904,MT1,2.68337,78.1634,-0.246037,3.33701,78.2094,266.991,-88.2386,-28.126,1.47998,36.4841,96.0299,
GYRO Z,15,joueur_79,match_20220904,MT1,-3.0054,53.2227,-0.108448,7.00845,53.3075,161.896,-52.602,-23.0293,-1.98047,15.4175,49.0986,
NormeGradAcc,15,joueur_79,match_20220904,MT1,0.0742455,0.0742906,1.58159,3.08056,0.105031,0.224099,0.00921092,0.0193224,0.0457944,0.105657,0.189285,0.18784780578898225
NormeGradGyro,15,joueur_79,match_20220904,MT1,4.82175,5.03017,2.27781,7.19034,6.96792,14.5045,0.847333,1.54666,2.95196,6.38683,11.3271,
ACC X,30,joueur_79,match_20220904,MT1,0.05623,0.424781,0.200492,8.25467,0.428487,1.23675,-0.350777,-0.138853,0.0371412,0.257482,0.466807,
ACC Y,30,joueur_79,match_20220904,MT1,-1.11061,0.855961,-0.0393373,1.88342,1.40218,2.88148,-1.86307,-1.47734,-1.28895,-0.597052,0.0877286,
ACC Z,30,joueur_79,match_20220904,MT1,-0.453906,0.481981,-0.00857468,9.80397,0.662069,1.33381,-0.970571,-0.6141,-0.412403,-0.250814,-0.0198952,
GYRO X,30,joueur_79,match_20220904,MT1,-1.6175,31.8225,-0.0208964,24.2986,31.8636,84.1911,-29.4074,-12.3868,-0.952104,8.67891,24.1668,
GYRO Y,30,joueur_79,match_20220904,MT1,2.1876,60.0225,-0.254578,3.50679,60.0623,207.772,-63.4893,-17.9143,1.60174,24.925,68.9341,
GYRO Z,30,joueur_79,match_20220904,MT1,-3.70358,41.607,-0.0336146,9.06492,41.7715,120.738,-38.9723,-17.8316,-2.17343,10.3017,30.3279,
NormeGradAcc,30,joueur_79,match_20220904,MT1,0.0540762,0.0606538,1.95255,4.65189,0.0812595,0.186528,0.00628206,0.012469,0.0300508,0.0743955,0.144588,0.11220354808590102
NormeGradGyro,30,joueur_79,match_20220904,MT1,3.27992,3.78283,2.91855,12.6885,5.00676,10.4963,0.566888,1.06217,1.96438,3.8984,7.87295,
ACC X,45,joueur_79,match_20220904,MT1,0.0214881,0.45746,0.511517,12.4378,0.457964,1.29831,-0.417067,-0.190653,0.00837754,0.225166,0.457873,
ACC Y,45,joueur_79,match_20220904,MT1,-1.1875,0.882938,-0.276009,1.26401,1.47977,3.08865,-2.08291,-1.55154,-1.30147,-0.692281,0.0671534,
ACC Z,45,joueur_79,match_20220904,MT1,-0.451505,0.411178,-1.93083,8.78698,0.610676,1.21456,-0.898432,-0.589193,-0.389051,-0.225612,-0.028367,
GYRO X,45,joueur_79,match_20220904,MT1,-1.58096,33.2394,0.711324,15.9909,33.277,92.4549,-31.9774,-14.2287,-1.02798,10.4314,27.3592,
GYRO Y,45,joueur_79,match_20220904,MT1,3.08792,66.3785,-0.0251899,2.85116,66.4503,232.251,-73.8344,-21.7628,1.61402,29.718,79.2821,
GYRO Z,45,joueur_79,match_20220904,MT1,-3.342,46.498,-0.00587029,9.73578,46.618,134.196,-44.0917,-19.9458,-1.72182,12.8076,37.1741,
NormeGradAcc,45,joueur_79,match_20220904,MT1,0.063111,0.065217,1.67414,2.95439,0.0907538,0.198122,0.00861589,0.0163994,0.0366574,0.0862795,0.163219,0.14477124183006537
NormeGradGyro,45,joueur_79,match_20220904,MT1,3.88231,4.21677,2.75693,11.4712,5.7318,11.6859,0.781715,1.31267,2.34661,4.83124,9.06438,
ACC X,15,joueur_79,match_20220904,MT2,0.0363168,0.391714,0.213371,9.04582,0.393394,1.13283,-0.346823,-0.141223,0.0287282,0.201881,0.404201,
ACC Y,15,joueur_79,match_20220904,MT2,-1.17366,0.814655,-0.175137,1.91991,1.42869,2.80836,-1.8452,-1.47167,-1.32605,-0.827872,0.031935,
ACC Z,15,joueur_79,match_20220904,MT2,-0.488732,0.404665,-2.28173,12.1084,0.634517,1.24449,-0.92076,-0.607084,-0.42379,-0.293851,-0.0592888,
GYRO X,15,joueur_79,match_20220904,MT2,-1.3691,27.6414,0.530122,12.5247,27.6753,82.0622,-28.4326,-10.8169,-1.03842,8.21529,24.1904,
GYRO Y,15,joueur_79,match_20220904,MT2,2.29868,59.5848,0.0241069,4.94008,59.6291,204.487,-62.2938,-17.3293,1.80204,21.9758,66.6743,
GYRO Z,15,joueur_79,match_20220904,MT2,-3.86539,41.8767,-0.263943,13.7875,42.0547,118.445,-37.7447,-16.632,-3.3348,8.20326,30.4168,
NormeGradAcc,15,joueur_79,match_20220904,MT2,0.053668,0.0631233,1.9033,3.88921,0.0828541,0.196182,0.00374626,0.0103621,0.0283057,0.0751762,0.146255,0.11392156862745098
NormeGradGyro,15,joueur_79,match_20220904,MT2,3.22251,4.0508,2.95556,13.4029,5.17625,11.2378,0.29818,0.830396,1.79981,3.86058,8.21987,
ACC X,30,joueur_79,match_20220904,MT2,-0.00730615,0.42314,-0.230136,16.4394,0.423203,1.15443,-0.388055,-0.178739,0.00149774,0.172801,0.368238,
ACC Y,30,joueur_79,match_20220904,MT2,-1.14765,0.834057,0.0171137,1.54374,1.41872,2.82712,-1.89052,-1.48862,-1.30499,-0.75264,0.0661184,
ACC Z,30,joueur_79,match_20220904,MT2,-0.4656,0.4206,-0.994108,17.0259,0.627445,1.21259,-0.901509,-0.60045,-0.41393,-0.261999,-0.0444521,
GYRO X,30,joueur_79,match_20220904,MT2,-1.47056,30.935,0.116246,20.4992,30.97,82.189,-28.7286,-12.0439,-0.651078,9.0291,23.8715,
GYRO Y,30,joueur_79,match_20220904,MT2,3.09538,60.749,0.153152,9.21197,60.8278,201.514,-56.0319,-15.1559,1.59434,20.9964,62.6335,
GYRO Z,30,joueur_79,match_20220904,MT2,-3.58522,43.384,0.00932751,15.3661,43.5319,114.578,-36.4775,-17.5627,-2.36249,9.80667,27.7187,
NormeGradAcc,30,joueur_79,match_20220904,MT2,0.0540121,0.0619429,2.03496,5.06273,0.0821841,0.190339,0.00542726,0.0119805,0.0301179,0.073573,0.14373,0.11063492063492064
NormeGradGyro,30,joueur_79,match_20220904,MT2,3.27819,4.13872,3.43494,18.4842,5.27972,10.9249,0.483777,0.968271,1.88669,3.71344,7.97304,
ACC X,45,joueur_79,match_20220904,MT2,0.0280995,0.404906,0.446199,11.5552,0.405879,1.13194,-0.37693,-0.165217,0.0207489,0.220691,0.415525,
ACC Y,45,joueur_79,match_20220904,MT2,-1.15069,0.791049,-0.0847299,1.58979,1.39637,2.69935,-1.85842,-1.46629,-1.28351,-0.810714,0.0281651,
ACC Z,45,joueur_79,match_20220904,MT2,-0.510846,0.395238,-1.367,6.07016,0.645892,1.23829,-0.947613,-0.668284,-0.469583,-0.291591,-0.0561956,
GYRO X,45,joueur_79,match_20220904,MT2,-1.80037,27.5155,0.854667,25.3123,27.5743,75.8056,-27.21,-12.0287,-0.829415,8.02401,21.5585,
GYRO Y,45,joueur_79,match_20220904,MT2,2.18663,55.4879,0.0835469,4.08347,55.531,190.566,-56.7217,-18.9467,0.707659,22.4595,63.5211,
GYRO Z,45,joueur_79,match_20220904,MT2,-3.87984,40.6718,-0.135299,12.5916,40.8564,114.64,-38.9282,-19.1861,-2.36328,10.5301,29.4152,
NormeGradAcc,45,joueur_79,match_20220904,MT2,0.0526495,0.0583145,1.8982,3.96309,0.0785656,0.180702,0.0059751,0.0122876,0.0300763,0.0726151,0.137766,0.1034313725490196
NormeGradGyro,45,joueur_79,match_20220904,MT2,3.03474,3.57297,3.39949,18.9523,4.68783,9.48679,0.539936,0.98703,1.85488,3.5353,7.13142,
ACC X,15,joueur_81,match_20220904,MT1,0.00854718,0.560637,0.0794781,3.23267,0.560702,1.76392,-0.610175,-0.308689,0.00480707,0.312289,0.647791,
ACC Y,15,joueur_81,match_20220904,MT1,-1.11656,1.0803,-0.723924,1.40048,1.55362,3.76797,-2.52442,-1.5562,-1.14693,-0.328731,0.20115,
ACC Z,15,joueur_81,match_20220904,MT1,-0.564404,0.53011,-0.735833,1.11908,0.774318,1.69608,-1.30667,-0.841201,-0.492769,-0.195055,0.0351025,
GYRO X,15,joueur_81,match_20220904,MT1,1.57502,40.0311,0.169043,6.98559,40.062,121.848,-37.9412,-16.2052,0.094284,18.2124,43.5358,
GYRO Y,15,joueur_81,match_20220904,MT1,3.15629,78.5994,-0.0417105,2.42524,78.6628,268.339,-91.5011,-33.661,2.0286,40.5614,97.8969,
GYRO Z,15,joueur_81,match_20220904,MT1,0.196024,51.8102,-0.0471733,2.44445,51.8105,178.851,-57.4813,-24.0848,-0.125779,24.1669,59.5597,
NormeGradAcc,15,joueur_81,match_20220904,MT1,0.0818173,0.0781073,1.55986,2.51804,0.113114,0.241899,0.0120982,0.0255474,0.0540479,0.110783,0.205854,0.18901960784313726
NormeGradGyro,15,joueur_81,match_20220904,MT1,5.25827,4.65716,1.98221,6.67507,7.02414,13.6628,1.09394,1.97346,3.73709,7.26857,11.4193,
ACC X,30,joueur_81,match_20220904,MT1,0.00792526,0.487451,0.213667,3.56685,0.487516,1.49248,-0.515471,-0.277651,-0.00589026,0.280053,0.562826,
ACC Y,30,joueur_81,match_20220904,MT1,-1.11491,0.930942,-0.455192,1.38874,1.45247,3.26539,-2.10366,-1.48668,-1.21087,-0.530083,0.0983005,
ACC Z,30,joueur_81,match_20220904,MT1,-0.544588,0.477382,-0.781696,2.018,0.724203,1.56019,-1.18431,-0.761737,-0.487437,-0.24889,0.0107899,
GYRO X,30,joueur_81,match_20220904,MT1,0.994301,34.725,0.301711,7.85987,34.7392,105.094,-32.0526,-13.4977,-0.0706982,14.2451,35.294,
GYRO Y,30,joueur_81,match_20220904,MT1,3.35114,72.4275,-0.177501,4.21976,72.505,247.487,-80.061,-25.9636,2.10754,33.6523,86.1881,
GYRO Z,30,joueur_81,match_20220904,MT1,-0.0813807,47.0722,-0.408703,6.33983,47.0723,160.344,-49.5911,-19.655,0.256711,19.9419,48.7035,
NormeGradAcc,30,joueur_81,match_20220904,MT1,0.0654387,0.0669042,1.72128,3.18385,0.0935863,0.21155,0.00811444,0.0178977,0.0420392,0.085773,0.168663,0.1319187675070028
NormeGradGyro,30,joueur_81,match_20220904,MT1,4.18977,4.12385,2.62931,17.2363,5.8788,11.9694,0.773603,1.47557,2.75392,5.59362,9.70706,
ACC X,45,joueur_81,match_20220904,MT1,0.0128724,0.554084,0.0891891,4.9533,0.554234,1.68256,-0.586702,-0.296948,-0.00151022,0.309848,0.639534,
ACC Y,45,joueur_81,match_20220904,MT1,-1.08229,1.02316,-0.518479,0.675438,1.48937,3.50432,-2.44886,-1.57942,-1.11283,-0.302827,0.169296,
ACC Z,45,joueur_81,match_20220904,MT1,-0.598267,0.556653,-0.536589,1.20924,0.817182,1.73428,-1.36907,-0.926717,-0.526373,-0.200099,0.028956,
GYRO X,45,joueur_81,match_20220904,MT1,1.40671,41.9978,-0.0756449,9.46361,42.0213,129.151,-39.2676,-16.3275,0.11337,17.861,44.884,
GYRO Y,45,joueur_81,match_20220904,MT1,5.26104,79.6834,0.121411,2.16195,79.8568,270.749,-89.8148,-32.9628,2.46944,42.5391,101.87,
GYRO Z,45,joueur_81,match_20220904,MT1,1.17284,56.7364,0.122486,2.67051,56.7485,196.796,-65.0138,-26.3353,0.328399,28.2581,68.0158,
NormeGradAcc,45,joueur_81,match_20220904,MT1,0.078905,0.071506,1.54962,2.46015,0.106485,0.219782,0.0146568,0.0282144,0.0525618,0.108278,0.189176,0.17666666666666667
NormeGradGyro,45,joueur_81,match_20220904,MT1,5.18509,4.62315,2.34731,10.2157,6.94684,13.0042,1.21401,2.02647,3.64722,7.088,11.006,
ACC X,15,joueur_81,match_20220904,MT2,-0.146626,0.508723,-0.840377,5.31749,0.529432,1.54556,-0.683668,-0.402465,-0.0680097,0.118688,0.36284,
ACC Y,15,joueur_81,match_20220904,MT2,-1.08402,0.939855,-0.502456,1.69855,1.43472,3.32336,-1.99026,-1.44922,-1.1936,-0.516099,0.108495,
ACC Z,15,joueur_81,match_20220904,MT2,0.627746,0.479674,0.730388,1.48446,0.790033,1.58168,0.0236555,0.339943,0.581142,0.851241,1.27746,
GYRO X,15,joueur_81,match_20220904,MT2,-2.90386,42.7587,0.0577981,7.91669,42.8571,126.824,-44.6004,-18.8292,-1.53995,12.9722,36.5919,
GYRO Y,15,joueur_81,match_20220904,MT2,3.67573,67.5657,0.0652661,3.05787,67.6657,233.088,-72.2616,-22.569,2.51383,30.6394,80.536,
GYRO Z,15,joueur_81,match_20220904,MT2,0.944402,48.2461,0.100413,3.76911,48.2554,161.721,-48.1126,-19.2612,0.299709,20.6595,50.5581,
NormeGradAcc,15,joueur_81,match_20220904,MT2,0.0657297,0.0710512,1.82993,3.50238,0.0967919,0.22594,0.00711815,0.0163523,0.0404271,0.0844984,0.174913,0.13444911297852474
NormeGradGyro,15,joueur_81,match_20220904,MT2,4.48812,4.72256,2.23591,7.25871,6.51504,13.9001,0.672854,1.44646,2.77061,5.83971,10.9516,
ACC X,30,joueur_81,match_20220904,MT2,-0.159047,0.505549,-0.71329,5.3399,0.529977,1.50705,-0.698575,-0.404261,-0.0925801,0.11125,0.344713,
ACC Y,30,joueur_81,match_20220904,MT2,-1.09312,0.888298,-0.438231,1.73707,1.40854,3.10921,-1.93527,-1.44825,-1.18966,-0.598573,0.0727922,
ACC Z,30,joueur_81,match_20220904,MT2,0.617879,0.4793,0.100779,9.97795,0.781987,1.54224,0.0301292,0.339064,0.585046,0.838251,1.23401,
GYRO X,30,joueur_81,match_20220904,MT2,-3.30489,39.7057,-0.0236709,11.3611,39.843,117.315,-42.3547,-19.1416,-2.19061,12.0873,34.4962,
GYRO Y,30,joueur_81,match_20220904,MT2,2.05655,67.4762,-0.232541,4.62871,67.5075,231.269,-73.5287,-23.9729,2.21948,30.7301,77.4412,
GYRO Z,30,joueur_81,match_20220904,MT2,1.77034,48.3837,0.351995,4.10058,48.4161,158.398,-47.0608,-19.4316,0.298376,21.3783,51.0776,
NormeGradAcc,30,joueur_81,match_20220904,MT2,0.0637894,0.0681946,1.89238,3.85208,0.0933787,0.217047,0.00749954,0.0169646,0.0397738,0.0830019,0.163303,0.12199813258636788
NormeGradGyro,30,joueur_81,match_20220904,MT2,4.36433,4.52557,2.83367,16.93,6.28714,13.0051,0.76215,1.52381,2.81904,5.562,10.2939,
ACC X,45,joueur_81,match_20220904,MT2,-0.161728,0.519083,-0.974996,5.18774,0.543694,1.58734,-0.72087,-0.405393,-0.0905873,0.120916,0.359242,
ACC Y,45,joueur_81,match_20220904,MT2,-1.05621,0.960311,-0.431089,1.62115,1.42751,3.40155,-2.01626,-1.45103,-1.15539,-0.465503,0.13532,
ACC Z,45,joueur_81,match_20220904,MT2,0.637068,0.491374,0.667718,1.63692,0.804552,1.58296,0.02322,0.333078,0.594979,0.884647,1.2781,
GYRO X,45,joueur_81,match_20220904,MT2,-3.35056,42.4068,-0.253824,7.99421,42.539,127.752,-45.866,-19.9545,-1.91714,13.7109,37.4541,
GYRO Y,45,joueur_81,match_20220904,MT2,1.77146,71.2826,-0.185554,2.88214,71.3046,248.93,-81.6469,-25.5576,1.93373,31.3373,83.6513,
GYRO Z,45,joueur_81,match_20220904,MT2,2.13242,50.4801,0.320181,4.30506,50.5251,166.849,-49.4174,-20.1813,0.51107,23.1746,55.4206,
NormeGradAcc,45,joueur_81,match_20220904,MT2,0.0668995,0.070233,1.87126,3.92432,0.096996,0.222837,0.00848001,0.0183938,0.0423461,0.0858154,0.172053,0.1323109243697479
NormeGradGyro,45,joueur_81,match_20220904,MT2,4.63932,4.57114,2.14286,6.47199,6.51296,13.5103,0.830562,1.63331,3.02379,6.13465,10.7906,
ACC X,15,joueur_04,match_20220911,MT1,0.0537046,0.257254,0.00632324,6.21312,0.2628,0.779261,-0.236195,-0.0736964,0.0552578,0.18891,0.318433,
ACC Y,15,joueur_04,match_20220911,MT1,-0.919238,0.627411,-0.304986,1.36744,1.11294,2.36183,-1.71927,-1.11852,-0.925186,-0.710892,-0.0254583,
ACC Z,15,joueur_04,match_20220911,MT1,-0.364322,0.289696,-1.24876,4.15228,0.465461,0.944619,-0.752452,-0.479131,-0.312864,-0.200159,-0.0632965,
GYRO X,15,joueur_04,match_20220911,MT1,0.0884718,36.2673,0.0720519,6.35338,36.2674,115.012,-38.1794,-14.3106,0.728988,15.1169,37.0985,
GYRO Y,15,joueur_04,match_20220911,MT1,-2.66056,72.2236,-0.144758,2.36304,72.2726,242.575,-88.7009,-35.2829,-3.91871,32.4268,86.3276,
